"id","nameTm","nameRu","createdAt","updatedAt"
"17630f15-7b50-446f-980c-c1c360ce4373","Sport dükanlar","Спортивные товары","2023-09-20 12:16:44.796","2023-09-20 12:16:44.796"
"1ff17ba7-21d5-48d5-ad7e-47ab4cedafed","Türgenler","Спортсмены","2023-09-20 12:13:21.422","2023-09-20 12:13:21.422"
"404b47b5-48e5-4d0a-9324-e63cee23c828","Saglygy goramak","Здравоохранения","2023-09-20 12:15:22.302","2023-09-20 12:15:22.302"
"65b979d0-59ab-4531-a2d5-47909b88748c","Dogry iymit","Питание","2023-09-20 12:16:08.646","2023-09-20 12:16:08.646"
"6f997d00-4ef0-4d9c-ad08-ba6bd1e36495","Sport görnüşler","Виды спорта","2023-09-20 12:12:13.704","2023-09-20 12:12:13.704"
"7601280f-1d3f-4114-b8b8-53e98fca6130","Sport zallar we toparlar","Тренажерные залы и клубы","2023-09-20 12:13:45.814","2023-09-20 12:13:45.814"
"79392686-f564-45ef-b502-2e267e239162","Sport bäsleşikler","Соревнования","2023-09-20 12:17:05.931","2023-09-20 14:22:17.942"
"d4b3aef3-8341-4f9f-8387-e11e6c122df3","Tälimçiler","Тренеры","2023-09-20 12:12:51.699","2023-09-20 12:12:51.699"
